Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Schedule,Air_Carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_of_Flight
FTW95IA083,1995-01-01,"HOUSTON, TX",United States,,,,,Incident,,N326SW,Boeing,737,SCHD,,0,0,66,VMC,APPROACH
MIA95LA055,1995-01-06,"MONROE, LA",United States,,,,,Non-Fatal,,N981DL,McDonnell Douglas,MD-80,SCHD,DELTA AIRLINES,0,1,69,IMC,CLIMB
DCA95RA013,1995-01-11,"MARIA LA BAJA, Colombia",Colombia,,,,,Fatal(52),Destroyed,,McDonnell Douglas,DC-9,SCHD,,52,1,0,VMC,
ATL95IA043,1995-01-19,"ATLANTA, GA",United States,,,ATL,HARTSFIELD ATLANTA INTL.,Incident,Minor,N4515W,Boeing,737,SCHD,"AIR SOUTH, INC.",0,0,28,IMC,LANDING
LAX95IA086,1995-01-23,"ALBUQUERQUE, NM",United States,,,ABQ,ALBUQUERQUE INT'L AIRPORT,Incident,,N155AW,Boeing,737,SCHD,"AMERICA WEST AIRLINES, INC.",0,0,37,VMC,TAKEOFF
FTW95LA103,1995-01-27,"DALLAS, TX",United States,,,DAL,DALLAS LOVE FIELD,Non-Fatal,,N71SW,Boeing,737,SCHD,,0,1,124,VMC,STANDING
CHI95LA078,1995-01-28,"BELLEVILLE, MI",United States,,,,,Non-Fatal,Substantial,N706CK,Boeing,747,,,0,0,4,VMC,TAKEOFF
DCA95RA017,1995-02-01,"SAN PAULO, Brazil",Brazil,,,,,Non-Fatal,Substantial,,Boeing,737,SCHD,,0,2,0,UNK,
CHI95IA095,1995-02-25,"CHICAGO, IL",United States,,,ORD,CHICAGO O'HARE INT'L,Incident,,GAWNM,Boeing,747,SCHD,,0,0,357,VMC,CLIMB
FTW95IA126A,1995-02-27,"DALLAS-FT WORTH, TX",United States,,,DFW,DALLAS-FORT WORTH INTL,Incident,,N1763,McDonnell Douglas,MD-11,SCHD,,0,0,78,VMC,LANDING
ATL95LA062,1995-03-16,"ALMA, GA",United States,,,,,Non-Fatal,,N295WA,Boeing,727,SCHD,,0,1,132,VMC,CRUISE
DCA95RA024,1995-03-17,"BARRANQUILLA, Colombia",Colombia,,,,,Non-Fatal,Destroyed,,McDonnell Douglas,DC-9,UNK,,0,0,4,VMC,
NYC95LA083,1995-04-02,"JAMAICA, NY",United States,,,JFK,JOHN F KENNEDY INTL,Non-Fatal,,N1768D,McDonnell Douglas,MD-11,SCHD,,0,2,74,VMC,TAXI
FTW95IA156,1995-04-03,"DFW AIRPORT, TX",United States,,,DFW,DALLAS/FORT WORTH,Incident,Minor,XASIJ,Boeing,727,NSCH,(DBA: AEROEXO),0,0,158,VMC,CLIMB
CHI95IA119,1995-04-07,"CHICAGO, IL",United States,,,ORD,O'HARE INT'L AIRPORT,Incident,Minor,N9090U,Boeing,737,SCHD,(DBA: UNITED AIR LINES),0,0,116,VMC,TAKEOFF
FTW95LA167,1995-04-11,"SAN ANTONIO, TX",United States,,,SAT,SAN ANTONIO INTERNATIONAL,Non-Fatal,,N683A,Boeing,757,SCHD,"(DBA: AMERICAN AIRLINES, INC.)",0,1,129,VMC,OTHER
FTW95LA170,1995-04-13,"DENVER, CO",United States,,,DEN,DENVER INTERNATIONAL,Non-Fatal,Substantial,EICEU,Boeing,737,SCHD,"MARKAIR, INC.",0,0,147,VMC,LANDING
